FID,gid,objectid,sampleno,longitude,latitude,sio2,al2o3,fe2o3,tio2,cao,mgo,mno,na2o,k2o,p2o5,loi,ba,ga,sc,v,th,pb,ni,co,rb,sr,y,zr,nb,cr,cu,zn,au,li,cs,as_,sb,bi,se,ag,be,ge,mo,sn,la,ce,pr,nd,sm,eu,tb,gd,dy,ho,er,tm,yb,lu,hf,ta,w,u,pt,pd,toposheet,in_,f,te,tl,hg,cd
0,349190,353697,55K/03/001/S/21-22,78.013964000000001,21.260214000000001,48.859999999999999,12.180000000000000,12.140000000000001,1.480000000000000,8.320000000000000,2.920000000000000,0.240000000000000,0.710000000000000,0.600000000000000,0.130000000000000,0.000000000000000,161.000000000000000,17.000000000000000,32.000000000000000,278.000000000000000,5.530000000000000,1.000000000000000,67.000000000000000,16.000000000000000,20.000000000000000,142.000000000000000,29.000000000000000,144.000000000000000,10.000000000000000,90.000000000000000,110.000000000000000,93.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.500000000000000,1.210000000000000,0.000000000000000,2.890000000000000,16.489999999999998,36.390000000000001,4.410000000000000,17.289999999999999,4.340000000000000,1.190000000000000,0.790000000000000,4.200000000000000,4.850000000000000,1.000000000000000,2.860000000000000,0.460000000000000,2.740000000000000,0.440000000000000,4.040000000000000,0.710000000000000,0.000000000000000,1.100000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
1,349191,353698,55K/03/002/S/21-22,78.023613999999995,21.257642000000001,53.149999999999999,12.539999999999999,10.410000000000000,1.470000000000000,5.450000000000000,2.880000000000000,0.200000000000000,0.350000000000000,1.160000000000000,0.100000000000000,0.000000000000000,270.000000000000000,20.000000000000000,26.000000000000000,238.000000000000000,10.310000000000000,23.000000000000000,76.000000000000000,19.000000000000000,44.630000000000003,116.000000000000000,32.000000000000000,194.000000000000000,10.000000000000000,126.000000000000000,92.000000000000000,84.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.340000000000000,1.150000000000000,0.000000000000000,2.640000000000000,25.859999999999999,90.909999999999997,6.560000000000000,24.420000000000002,5.240000000000000,1.270000000000000,0.860000000000000,5.000000000000000,4.970000000000000,0.960000000000000,2.720000000000000,0.450000000000000,2.700000000000000,0.420000000000000,6.320000000000000,0.980000000000000,0.000000000000000,2.010000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
2,349192,353699,55K/03/003/S/21-22,78.039736000000005,21.261139000000000,50.729999999999997,11.810000000000000,11.779999999999999,1.990000000000000,6.480000000000000,2.920000000000000,0.180000000000000,0.740000000000000,0.830000000000000,0.180000000000000,0.000000000000000,171.000000000000000,19.000000000000000,28.000000000000000,289.000000000000000,5.250000000000000,6.000000000000000,78.000000000000000,16.000000000000000,21.660000000000000,184.000000000000000,27.000000000000000,177.000000000000000,11.000000000000000,138.000000000000000,120.000000000000000,93.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.500000000000000,1.090000000000000,0.000000000000000,2.660000000000000,16.289999999999999,36.880000000000003,4.330000000000000,18.340000000000000,4.180000000000000,1.210000000000000,0.720000000000000,3.980000000000000,4.210000000000000,0.810000000000000,2.230000000000000,0.340000000000000,2.040000000000000,0.320000000000000,4.330000000000000,0.760000000000000,0.000000000000000,1.050000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
3,349193,353700,55K/03/004/S/21-22,78.068425000000005,21.258493999999999,47.259999999999998,11.310000000000000,13.190000000000000,2.630000000000000,7.530000000000000,3.470000000000000,0.200000000000000,1.110000000000000,0.540000000000000,0.180000000000000,0.000000000000000,91.000000000000000,19.000000000000000,31.000000000000000,378.000000000000000,2.650000000000000,1.000000000000000,93.000000000000000,13.000000000000000,10.140000000000001,170.000000000000000,24.000000000000000,158.000000000000000,14.000000000000000,167.000000000000000,122.000000000000000,121.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.500000000000000,1.170000000000000,0.000000000000000,1.370000000000000,10.720000000000001,24.100000000000001,3.270000000000000,13.600000000000000,3.670000000000000,1.210000000000000,0.690000000000000,3.570000000000000,3.970000000000000,0.760000000000000,2.090000000000000,0.320000000000000,1.810000000000000,0.290000000000000,3.830000000000000,0.710000000000000,0.000000000000000,0.530000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
4,349194,353701,55K/03/005/S/21-22,78.090318999999994,21.253541999999999,55.380000000000003,12.279999999999999,13.130000000000001,2.190000000000000,2.610000000000000,2.470000000000000,0.210000000000000,0.370000000000000,0.920000000000000,0.120000000000000,0.000000000000000,213.000000000000000,21.000000000000000,32.000000000000000,321.000000000000000,7.500000000000000,13.000000000000000,83.000000000000000,7.000000000000000,38.619999999999997,114.000000000000000,33.000000000000000,193.000000000000000,10.000000000000000,177.000000000000000,128.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.260000000000000,1.270000000000000,0.000000000000000,4.330000000000000,24.789999999999999,51.909999999999997,6.620000000000000,26.890000000000001,6.050000000000000,1.780000000000000,1.050000000000000,6.020000000000000,6.350000000000000,1.210000000000000,3.410000000000000,0.520000000000000,3.110000000000000,0.490000000000000,5.370000000000000,1.040000000000000,0.000000000000000,1.610000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
5,349195,353702,55K/03/006/S/21-22,78.101727999999994,21.256039000000001,50.039999999999999,12.500000000000000,13.910000000000000,1.990000000000000,3.740000000000000,3.160000000000000,0.240000000000000,0.460000000000000,0.870000000000000,0.130000000000000,0.000000000000000,190.000000000000000,20.000000000000000,36.000000000000000,321.000000000000000,5.120000000000000,7.000000000000000,85.000000000000000,7.000000000000000,26.890000000000001,171.000000000000000,28.000000000000000,160.000000000000000,8.000000000000000,142.000000000000000,131.000000000000000,105.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,1.090000000000000,0.000000000000000,1.080000000000000,16.210000000000001,36.950000000000003,4.560000000000000,17.539999999999999,4.170000000000000,1.230000000000000,0.740000000000000,4.090000000000000,4.590000000000000,0.860000000000000,2.510000000000000,0.390000000000000,2.360000000000000,0.360000000000000,3.860000000000000,0.820000000000000,0.000000000000000,1.190000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
6,349196,353703,55K/03/007/S/21-22,78.129214000000005,21.264011000000000,49.430000000000000,13.920000000000000,16.609999999999999,2.230000000000000,3.150000000000000,1.950000000000000,0.300000000000000,0.300000000000000,0.390000000000000,0.090000000000000,0.000000000000000,141.000000000000000,22.000000000000000,44.000000000000000,409.000000000000000,5.430000000000000,6.000000000000000,90.000000000000000,0.500000000000000,21.140000000000001,89.000000000000000,35.000000000000000,164.000000000000000,5.000000000000000,147.000000000000000,144.000000000000000,97.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.500000000000000,1.260000000000000,0.000000000000000,2.360000000000000,17.739999999999998,39.359999999999999,4.830000000000000,19.890000000000001,4.800000000000000,1.440000000000000,0.960000000000000,4.730000000000000,5.690000000000000,1.120000000000000,3.160000000000000,0.520000000000000,3.140000000000000,0.490000000000000,4.220000000000000,0.800000000000000,0.000000000000000,1.040000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
7,349197,353704,55K/03/008/S/21-22,78.135586000000004,21.260574999999999,45.680000000000000,13.000000000000000,17.129999999999999,2.200000000000000,4.240000000000000,2.110000000000000,0.310000000000000,0.510000000000000,0.230000000000000,0.130000000000000,0.000000000000000,115.000000000000000,21.000000000000000,43.000000000000000,433.000000000000000,3.420000000000000,1.000000000000000,91.000000000000000,0.500000000000000,10.949999999999999,90.000000000000000,33.000000000000000,136.000000000000000,7.000000000000000,133.000000000000000,139.000000000000000,110.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.500000000000000,1.220000000000000,0.000000000000000,2.260000000000000,12.369999999999999,27.629999999999999,3.520000000000000,14.510000000000000,3.860000000000000,1.250000000000000,0.800000000000000,4.150000000000000,5.130000000000000,1.020000000000000,3.000000000000000,0.460000000000000,2.910000000000000,0.440000000000000,3.490000000000000,0.620000000000000,0.000000000000000,0.650000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
8,349198,353705,55K/03/009/S/21-22,78.159481000000000,21.252002999999998,48.829999999999998,14.010000000000000,15.650000000000000,2.310000000000000,3.660000000000000,2.040000000000000,0.250000000000000,0.380000000000000,0.300000000000000,0.100000000000000,0.000000000000000,130.000000000000000,22.000000000000000,41.000000000000000,418.000000000000000,4.220000000000000,1.000000000000000,92.000000000000000,0.500000000000000,13.510000000000000,91.000000000000000,31.000000000000000,163.000000000000000,9.000000000000000,145.000000000000000,144.000000000000000,106.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.500000000000000,1.260000000000000,0.000000000000000,4.110000000000000,14.270000000000000,32.850000000000001,4.130000000000000,16.930000000000000,4.190000000000000,1.330000000000000,0.840000000000000,4.210000000000000,4.930000000000000,0.970000000000000,2.720000000000000,0.430000000000000,2.580000000000000,0.390000000000000,3.860000000000000,0.760000000000000,0.000000000000000,0.750000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
9,349199,353706,55K/03/010/S/21-22,78.185625000000002,21.267133000000001,53.070000000000000,13.020000000000000,13.080000000000000,1.890000000000000,3.840000000000000,2.100000000000000,0.210000000000000,0.300000000000000,0.680000000000000,0.110000000000000,0.000000000000000,197.000000000000000,20.000000000000000,34.000000000000000,310.000000000000000,7.000000000000000,16.000000000000000,80.000000000000000,10.000000000000000,31.120000000000001,106.000000000000000,32.000000000000000,180.000000000000000,7.000000000000000,145.000000000000000,124.000000000000000,93.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.070000000000000,1.240000000000000,0.000000000000000,4.680000000000000,22.390000000000001,47.659999999999997,5.660000000000000,22.879999999999999,5.080000000000000,1.400000000000000,0.930000000000000,5.080000000000000,5.280000000000000,1.060000000000000,2.930000000000000,0.480000000000000,2.770000000000000,0.450000000000000,4.850000000000000,0.920000000000000,0.000000000000000,1.350000000000000,0.000000000000000,0.000000000000000,55K03,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
